WordHead,IPA
ଉକ୍ତି,ʊkti
ବାଜିରାଓ-ମସ୍ତାନି,bɑd͡ʒiɾɑo-mɔstɑni
ବିରୋଧି,biɾodʰi
ଜାଣିପାରିନଥିଲେ,d͡ʒɑɳipɑɾinɔtʰile
ଭେଟି,bʰeʈi
ବନ୍ଧୁକୁ,bɔndʰʊkʊ
ଟିଭିରେ,ʈibʰiɾe
ଭାବନାକୁ,bʰɑbɔnɑkʊ
ଦଗ୍ଧ,dɔɡdʰɔ
ସ୍ଲିମପୋର୍ଟ,slimpoɾʈ
ନୟାଗଡ଼,nɔjɑɡɔɽɔ
ପାସ୍‌,pɑs‌
ଅଫ୍‌,ɔph‌
ପିଲାଙ୍କୁ,pilɑŋkʊ
ଭାରିଜା,bʰɑɾid͡ʒɑ
କେନ୍ଦ୍ର,kendɾɔ
ଶାଶୁଘର,sɑsʊɡʰɔɾɔ
ମିଳିଯାଆନ୍ତା,mi`li|yɑɑntɑ
ଚେଇଁ,t͡ʃein~
ସ୍ୱାଇପ୍,sʋɑip
29365ରୁ,29365ɾʊ
କଷିଟେ,kɔsiʈe
ନେହୁରା,nehʊɾɑ
ହେବେ,hebe
ଲିଭ୍-ଇନ୍‌ରେ,libʰ-in‌ɾe
ରେଖା,ɾekʰɑ
ସ୍ଥାନଗୁଡ଼ିକର,stʰɑnɔɡʊɽikɔɾɔ
ଚିକିତ୍ସାଧିନ,t͡ʃikitsɑdʰinɔ
ସନ୍ଧାନକୁ,sɔndʰɑnɔkʊ
କହିବା,kɔhibɑ
ଉତ୍ସାହ,ʊtsɑhɔ
ଦେଖିପାରିବ,dekʰipɑɾibɔ
ଟେକ୍‌ନିକର,ʈek‌nikɾɔ
ମଙ୍ଗଳାଦେବୀ,mɔŋɡɔ`lɑdebi
ଦୁର୍ଦ୍ଦାନ୍ତ,dʊɾddɑntɔ
ଥରୁଥାଏ,tʰɔɾʊtʰɑe
ପାଞ୍ଚଶହ,pɑɲt͡ʃɔsɔhɔ
ଏଦିଗରେ,ediɡɔɾe
ଠାରେ,ʈʰɑɾe
ଆଣ୍ଡ୍ରୋଏଡ୍,ɑɳɖɾoeɖ
ପ୍ରଥାମରୁ,pɾɔtʰɑmɔɾʊ
ନିଅ,niɔ
‘ସାଦୀ,‘sɑdi
ମଞ୍ଚ,mɔɲt͡ʃɔ
ପକ୍ଷିରାଜ,pɔkʰjiɾɑd͡ʒɔ
କଲଦୀଯମାନଙ୍କୁ,kɔlɔdi|yɔmɑnɔŋkʊ
ଦେଖାଦେଇଥାଏ,dekʰɑdeitʰɑe
ଜବାବ,d͡ʒɔbɑb
କରୁଛୁ,kɔɾʊt͡ʃʰʊ
ସୂତ୍ରପାତ,sutɾɔpɑtɔ
ଶବ୍ଦଟିଏ,sɔbdɔʈie
ମହାନ୍ତିଙ୍କ,mɔhɑntiŋkɔ
ଗଛପତ୍ର,ɡɔt͡ʃʰɔpɔtɾɔ
ବାର୍ତ୍ତା,bɑɾttɑ
ଗାଡ଼ିଟା,ɡɑɽiʈɑ
ପଡ଼ୋଶୀ,pɔɽosi
ସଂକ୍ଷିପ୍ତ,sɔŋkʰjiptɔ
ଜଗନ୍ନାଥଙ୍କ,d͡ʒɔɡɔnnɑtʰɔŋkɔ
ସପିଂ,sɔpiM
ସଂଳାପ,sɔM`lɑpɔ
ଡିଟେଲ୍,ɖiʈel
ତମିମ,tɔmim
ଶ୍ରଦ୍ଧାଞ୍ଜଳି,sɾɔddʰɑɲd͡ʒɔ`li
କରିନିଅନ୍ତୁ,kɔɾiniɔntʊ
ହଁପରେ,hɔn~pɔɾe
ଆକ୍ରୋଶର,ɑkɾosɔɾɔ
ଫୁଲ,phʊlɔ
ପ୍ରବର୍ତ୍ତନ,pɾɔbɔɾttɔnɔ
କେନ୍ଦ୍ରାପଡ଼ାର,kendɾɑpɔɽɑɾɔ
ପଢ଼ୁଥିଲା,pɔɽʱʊtʰilɑ
ପ୍ରତିମୂର୍ତ୍ତିକୁ,pɾɔtimuɾttikʊ
ଏତେବେଳେ,etebe`le
ରେଷ୍ଟୁରାଂଟ,ɾesʈʊɾɑMʈ
ନେଇନି,neini
ମରିବାକୁ,mɔɾibɑkʊ
ଏକ୍ଟ,ekʈ
ଠାରୁ,ʈʰɑɾʊ
ଟୁଇଟ୍,ʈʊiʈ
ନିବେଶକ,nibesɔkɔ
ସର୍ବକାଳୀନ,sɔɾbɔkɑ`linɔ
ଦଳ,dɔ`lɔ
ଇସ୍ରୋକୁ,isɾokʊ
ସତ୍ୟପାଠ,sɔtjɔpɑʈʰɔ
ମୁଖମଣ୍ଡଳ,mʊkʰɔmɔɳɖɔ`lɔ
ବ୍ୟାଟେରୀ,bjɑʈeɾi
ଶତୃମାନଙ୍କଦ୍ବାରା,sɔtɾʊmɑnɔŋkɔdbɑɾɑ
ସୁରେଶ,sʊɾes
ବନେଇଛନ୍ତି,bɔneit͡ʃʰɔnti
ନେଇଯିବି,nei|yibi
ଜଳରେ,d͡ʒɔ`lɔɾe
ସ୍ଥାୟୀ,stʰɑji
କଭର,kɔbʰɔɾ
ନୁହେ,nʊhe
ସ୍ତନ୍ୟପାନ,stɔnjɔpɑnɔ
ସୁସଙ୍ଗତ,sʊsɔŋɡɔtɔ
ଇବେ,ibe
ଟାଣିଦେଲି,ʈɑɳideli
ସୁପ୍ରିମକୋର୍ଟକୁ,sʊpɾimkoɾʈkʊ
ଏସି,esi
ଏହାପରେ,ehɑpɔɾe
ନିଘୋଡ଼,niɡʰoɽɔ
ଅଭିନନ୍ଦନଙ୍କୁ,ɔbʰinɔndɔnɔŋkʊ
ସଫଳତା,sɔphɔ`lɔtɑ
ପ୍ରବନ୍ଧର,pɾɔbɔndʰɔɾɔ
କଟେଇବା,kɔʈeibɑ
ପୁଅକୁ,pʊɔkʊ
ଆକାଶଛୁଆଁ,ɑkɑsɔt͡ʃʰʊɑn~
ଉପରାଷ୍ଟ୍ରପତିଙ୍କ,ʊpɔɾɑsʈɾɔpɔtiŋkɔ
ହେମା,hemɑ
ସମ୍ମୁଖୀନ,sɔmmʊkʰinɔ
ଉଚିତ,ʊt͡ʃit
ଫେରେଇଦେବେ,pheɾeidebe
ଏଡିଜିଙ୍କ,eɖid͡ʒiŋkɔ
ଠେକିଟା,ʈʰekiʈɑ
ବୁଝାଇଲେ,bʊd͡ʒʱɑile
ସମୟସୀମା,sɔmɔjɔsimɑ
ପରଗୁଡ଼ିକ,pɔɾɔɡʊɽikɔ
ମତେ,mɔte
ଭାନୁ,bʰɑnʊ
କୁମୁଦିନୀ,kʊmʊdini
କିବୋର୍ଡ_ଆଦେଶ,kiboɾɖ_ɑdes
ଯନ୍ତ୍ରପାତିର,|yɔntɾɔpɑtiɾɔ
ସଫର୍ବଯିମଠାରୁ,sɔphɔɾbɔ|yimɔʈʰɑɾʊ
ଆଇପିଏଲ୍‌,ɑipiel‌
ଦାସ,dɑsɔ
TIFT,TIFT
ସାରିବ,sɑɾibɔ
3ଟାରେ,3ʈɑɾe
ସପକ୍ଷରେ,sɔpɔkʰjɔɾe
ସୁଇସାଇଡ୍,sʊisɑiɖ
ତାଙ୍କେ,tɑŋke
ଢଙ୍ଗ,ɖʱɔŋɡɔ
ଜିନିଷପତ୍ର,d͡ʒinisɔpɔtɾɔ
ପିଠା,piʈʰɑ
ଗାଡ଼ିରେ,ɡɑɽiɾe
ଭାବୁଛ,bʰɑbʊt͡ʃʰɔ
ବଦଳେଇପାରିବି,bɔdɔ`leipɑɾibi
ପଶ୍ଚାତାପ,pɔst͡ʃɑtɑpɔ
ବସବାସ,bɔsɔbɑsɔ
ବଢ,bɔɖʱɔ
ଅନ୍ୟାନ୍ୟ,ɔnjɑnjɔ
କୁହାଯାଇଛି,kʊhɑ|yɑit͡ʃʰi
ଚାଲିଯାଇ,t͡ʃɑli|yɑi
ବରଜକୁ,bɔɾɔd͡ʒɔkʊ
ବିଜେପିରେ,bid͡ʒepiɾe
ସ୍ୱାମୀ-ସ୍ତ୍ରୀ,sʋɑmi-stɾi
ଟେକି,ʈeki
ଏଥିଲାଗି,etʰilɑɡi
ଦେଶମ,desɔmɔ
ପରିଗଣିତ,pɔɾiɡɔɳitɔ
ବରଣ,bɔɾɔɳɔ
ପରିଚାଳନାରେ,pɔɾit͡ʃɑ`lɔnɑɾe
ପର୍ଯ୍ୟାୟକୁ,pɔɾ|yjɑjɔkʊ
ଘରେ,ɡʰɔɾe
ବିଲବାଡ଼ି,bilɔbɑɽi
ଟିପ୍ପଣୀକୁ,ʈippɔɳikʊ
ରାୟ,ɾɑjɔ
ଦେଖିପାରୁଛନ୍ତି,dekʰipɑɾʊt͡ʃʰɔnti
ଟାଣନ୍ତି,ʈɑɳɔnti
ଅନ୍ତର୍ଭୁକ୍ତି,ɔntɔɾbʰʊkti
ରାଗି,ɾɑɡi
ହିଂସାତ୍ମକ,hiMsɑtmɔkɔ
ସିନ୍ଧୁ,sindʰʊ
:ସ୍ୱାମୀ,:sʋɑmi
ଠୋସ୍,ʈʰos
ଯେଉଁଠାରେ,|yeʊn~ʈʰɑɾe
ୟାଏ,jɑe
ଆଇଭିଏଫଆରଟି,ɑibʰiephɑɾʈi
୧ଲକ୍ଷ,୧lɔkʰjɔ
ପୀଡ଼ିତ,piɽitɔ
‘ଗଳିର,‘ɡɔ`liɾɔ
ଯଦିଓ,|yɔdio
ପୀଡ଼ିତାଙ୍କ,piɽitɑŋkɔ
ପୀଠରେ,piʈʰɔɾe
ଧନପତିଙ୍କୁ,dʰɔnɔpɔtiŋkʊ
ପଠେଇଦିଅନ୍ତୁ,pɔʈʰeidiɔntʊ
ପୋଇଲୀମାନେ,poilimɑne
‘ଲାଇନ୍ସର,‘lɑinsɾɔ
କୀର୍ତ୍ତି,kiɾtti
ଅଶୂରର,ɔsuɾɔɾɔ
ବିଶ୍ୱକପ୍‌,bisʋɔkɔp‌
ଗୁଡ଼ିର,ɡʊɽiɾɔ
ନୁହଁ,nʊhɔn~
ମହିନ୍ଦ୍ର,mɔhindɾɔ
୧୯୫ଟି,୧୯୫ʈi
ସଂଜୟଙ୍କ,sɔMd͡ʒɔjɔŋkɔ
ଯିବାକଥା,|yibɑkɔtʰɑ
ଭିଜୁଆଲ୍,bʰid͡ʒʊɑl
ବାଇକ,bɑik
ଶୟତାନ,sɔjɔtɑn
ହଷ୍ଟିନ,hɔsʈin
ଅଭିବୃଦ୍ଧି,ɔbʰibɾʊddʰi
ବ୍ୟକ୍ତିଙ୍କୁ,bjɔktiŋkʊ
ଶିଖିନିଅ,sikʰiniɔ
ସଂଖାରେ,sɔŋkʰɑɾe
କୋପରେଟିଭ୍‌,kopɔɾeʈibʰ‌
ସ୍ତ୍ରୀ,stɾi
ହେଇନି,heini
ଜନ୍ତୁମାନଙ୍କୁ,d͡ʒɔntʊmɑnɔŋkʊ
ଇଭିଏମ୍‌କୁ,ibʰiem‌kʊ
ଏନଓସି,enosi
କାଲିକୁ,kɑlikʊ
ଭିଟାମିନ୍‌,bʰiʈɑmin‌
ଦରକାର,dɔɾɔkɑɾɔ
ଅଧୀନ,ɔdʰinɔ
ଗ୍ୟାସ୍‌କଟରରେ,ɡjɑs‌kɔʈɔɾɾe
ଲେଖାଏଁ,lekʰɑen~
ନାୟକମହାକାଳପଡ଼ାର,nɑjɔkɔmɔhɑkɑ`lɔpɔɽɑɾɔ
ମିଳିନ,mi`linɔ
ବିଶ୍ଳେଷଣ,bis`lesɔɳɔ
ସନ୍ତୋଷରେ,sɔntosɔɾe
ବଞ୍ଚିଛି,bɔɲt͡ʃit͡ʃʰi
ବାୟୁସେନା,bɑjʊsenɑ
ଝୁନି,d͡ʒʱʊni
ସଂଗଠନମାନଙ୍କୁ,sɔŋɡɔʈʰɔnɔmɑnɔŋkʊ
ସ୍ପୋର୍ଟସ୍,spoɾʈs
ଦୀପରୁ,dipɔɾʊ
ସହାୟତାରେ,sɔhɑjɔtɑɾe
ତେଜପାଲ୍‌ଙ୍କ,ted͡ʒɔpɑl‌ŋkɔ
ସନାତନ,sɔnɑtɔnɔ
ଇସାଫ୍,isɑph
ଫୋଡ଼ି,phoɽi
ଗାଁମାନଙ୍କର,ɡɑn~mɑnɔŋkɔɾɔ
ବିପାକ,bipɑkɔ
ଉଚ୍ଚସ୍ତରୀୟ,ʊt͡ʃt͡ʃɔstɔɾijɔ
ରଖିଥିବାବେଳେ,ɾɔkʰitʰibɑbe`le
ଆସିପାରିବୁ,ɑsipɑɾibʊ
ବିକଳ୍ପଗୁଡିକ,bikɔ`lpɔɡʊɖikɔ
ପଡ଼ିଥାଏ,pɔɽitʰɑe
ଝଡ଼ରେ,d͡ʒʱɔɽɔɾe
ଜ୍ଞାନ,ɡjɑn~nɔ
ଯୁବକଙ୍କର,|yʊbɔkɔŋkɔɾɔ
ଲାଗିଥିଲେ,lɑɡitʰile
ପିତାଙ୍କୁ,pitɑŋkʊ
ଚାରା,t͡ʃɑɾɑ
ପଡ଼ିଲା,pɔɽilɑ
ମିଳିଥିବା,mi`litʰibɑ
ବାଳିକାଟି,bɑ`likɑʈi
ଜାଣିଲୁ,d͡ʒɑɳilʊ
ପୁରୀର,pʊɾiɾɔ
ନାବାଳିକା,nɑbɑ`likɑ
ଓରାମ୍,oɾɑm
ପଂଳ,pɔM`lɔ
ସ୍ତନ୍ୟପାୟୀ,stɔnjɔpɑji
ଆୟୋଗଙ୍କ,ɑjoɡɔŋkɔ
କ୍ରିଷ୍ଣ,kɾisɳɔ
ମରୁଭୂମିକୁ,mɔɾʊbʰumikʊ
କ୍ଷେପଣାସ୍ତ୍ରର,kʰjepɔɳɑstɾɔɾɔ
ଅପନା,ɔpnɑ
ମହାମାରୀ,mɔhɑmɑɾi
ଯୁବକ,|yʊbɔkɔ
ଗନ୍ତୟତ,ɡɔntɔjɔtɔ
ମୁଖପାତ୍ର,mʊkʰɔpɑtɾɔ
ମୁନିଆ,mʊniɑ
ବଙ୍ଗଳା,bɔŋɡɔ`lɑ
ବର୍ତ୍ତମାନ,bɔɾttɔmɑnɔ
ହୋଇପଡୁଛି,hoipɔɖʊt͡ʃʰi
ଡାକରାରେ,ɖɑkɔɾɑɾe
ବିକ୍ରମସିଂଘେଙ୍କ,bikɾɔmɔsiMɡʰeŋkɔ
ବଦଳିଯାଇଛି,bɔdɔ`li|yɑit͡ʃʰi
ଭାଇଯାକ,bʰɑi|yɑkɔ
ଭାରତୀୟମାନେ,bʰɑɾɔtijɔmɑne
ପତଳା,pɔtɔ`lɑ
ଶ୍ରଦ୍ଧାଳୁ,sɾɔddʰɑ`lʊ
କଥାରେ,kɔtʰɑɾe
ଗୁଣ୍ଡୁଚିମୂଷାଟିଏ,ɡʊɳɖʊt͡ʃimusɑʈie
ଦୁନିଆରେ,dʊniɑɾe
କନ୍ଦଳ,kɔndɔ`lɔ
ମୁଖାର୍ଜୀଙ୍କଠାରୁ,mʊkʰɑɾd͡ʒiŋkɔʈʰɑɾʊ
ବାସ୍ନା,bɑsnɑ
ମନୋବୃତ୍ତିର,mɔnobɾʊttiɾɔ
ୟାହ,jɑhɔ
କେବର,kebɔɾɔ
ହସ୍ପିଟାଲ୍‌,hɔspiʈɑl‌
ଯନ୍ତ୍ରର,|yɔntɾɔɾɔ
ଏସବିଆଇରେ,esbiɑiɾe
ଫ୍ରାନ୍ସକୁ,phɾɑnskʊ
ଖୋଜକୁ,kʰod͡ʒɔkʊ
ସୁଖ-ଦୁଃଖରେ,sʊkʰɔ-dʊhkʰɔɾe
ଆଧାରଶିଳା,ɑdʰɑɾɔsi`lɑ
ଉପହାରରେ,ʊpɔhɑɾɔɾe
ଅଣପଂଜୀକୃତ,ɔɳɔpɔMd͡ʒikɾʊtɔ
ଏଥିନିମନ୍ତେ,etʰinimɔnte
ଚାଲିଯିବ,t͡ʃɑli|yibɔ
ଆଇଆରସିଟିସି,ɑiɑɾsiʈisi
ଦେଖାୟାଉଛି,dekʰɑjɑʊt͡ʃʰi
ହର୍ଷବର୍ଦ୍ଧନ,hɔɾsɔbɔɾddʰɔnɔ
ପାଟିଲ,pɑʈil
କିଆପଣଙ୍କୁ,kiɑpɔɳɔŋkʊ
ପାଞ୍ଚିଲା,pɑɲt͡ʃilɑ
ଇୟର:,ijɔɾ:
ଗଛ,ɡɔt͡ʃʰɔ
କ୍ୱାଲିଟି,kʋɑliʈi
ଝଡିଥାଏ,d͡ʒʱɔɖitʰɑe
ଘନୀଭୂତ,ɡʰɔnibʰutɔ
ଯାଇନ,|yɑinɔ
ଜମିଜମା,d͡ʒɔmid͡ʒɔmɑ
ମାରଣର,mɑɾɔɳɔɾɔ
ବେଙ୍ଗାଲୁରୁର,beŋɡɑlʊɾʊɾɔ
୧୬,୧୬
ଦେଖାଇଲେ,dekʰɑile
ଶୁଣନ୍ତୁ,sʊɳɔntʊ
ଆଗରେ,ɑɡɔɾe
ଦୁର୍ବଳ,dʊɾbɔ`lɔ
ଦେଇଛ,deit͡ʃʰɔ
ଅଙ୍କୁଶିତା,ɔŋkʊsitɑ
ହେଲ,helɔ
ଝୁଲି,d͡ʒʱʊli
ସେସିଆଲ,sesiɑl
ବାକ୍ସରେ,bɑksɔɾe
ସଜାଗ,sɔd͡ʒɑɡɔ
ରବିମନ୍ତ୍ର,ɾɔbimɔntɾɔ
ନାହିଁନଥିବା,nɑhin~nɔtʰibɑ
ଅମୀୟା,ɔmijɑ
ପ୍ରତିଦିନି,pɾɔtidini
ବ୍ୟାପିଥାଏ,bjɑpitʰɑe
ହୋଇସାରିଛି,hoisɑɾit͡ʃʰi
ଭୁବନେଶ୍ୱର,bʰʊbɔnesʋɔɾɔ
ସାଧାରଣତନ୍ତ୍ର,sɑdʰɑɾɔɳɔtɔntɾɔ
ହେଇଚି,heit͡ʃi
ମି,mi
ଚାଲୁନାହିଁ,t͡ʃɑlʊnɑhin~
ଜିତିଲେ,d͡ʒitile
ଟେକ୍ନୋଲଜିକୁ,ʈeknolɔd͡ʒikʊ
ଗୋଠପାଟଣାସ୍ଥିତ,ɡoʈʰɔpɑʈɔɳɑstʰitɔ
ଅଟନ୍ତି,ɔʈɔnti
ସମ୍ଭାବନାକୁ,sɔmbʰɑbɔnɑkʊ
ହେଲେ,hele
ବିନୟୀ,binɔji
ନଗଦ,nɔɡɔdɔ
ପୁରାଇ,pʊɾɑi
କମ୍ପାନୀଗୁଡ଼ିକର,kɔmpɑniɡʊɽikɔɾɔ
ଟୋକା,ʈokɑ
ରଖିବା,ɾɔkʰibɑ
ବାଛବିଚାର,bɑt͡ʃʰɔbit͡ʃɑɾɔ
ବାଉଳାରେ,bɑʊ`lɑɾe
ଇନଷ୍ଟାଲମେଣ୍ଟ,inɔsʈɑlmeɳʈ
ଜବତ,d͡ʒɔbɔtɔ
ରହିପାରିବ,ɾɔhipɑɾibɔ
ଭ୍ରଷ୍ଟାଚାର,bʰɾɔsʈɑt͡ʃɑɾɔ
ଜିଲ୍ଲାରୁ,d͡ʒillɑɾʊ
ପଥର,pɔtʰɔɾɔ
ପ୍ଲାନ୍ଟ୍ରୋନିକ୍ସ,plɑnʈɾoniks
କହୁଣିକୁ,kɔhʊɳikʊ
ଫାନ୍ସର,phɑnsɾɔ
ଖାଇଯିବ,kʰɑi|yibɔ
ମିଥିଳା,mitʰi`lɑ
ବୋଲର୍‌,bolɔɾ‌
ଶୋଇବା,soibɑ
ଦେହତ୍ୟାଗ,dehɔtjɑɡɔ
ପିନ୍ଧିବାରେ,pindʰibɑɾe
କାର୍ଯ୍ୟକରି,kɑɾ|yjɔkɔɾi
ତତ୍ପରେ,tɔtpɔɾe
ଯୁଗାଡ,|yʊɡɑɖɔ
ଦୁଃସାହସିକ,dʊhsɑhɔsikɔ
କେଏଲ୍‌,keel‌
ବାଦଲଙ୍କ,bɑdɔlɔŋkɔ
ଏମ୍ପ୍ଲିଫାୟାରରେ,empliphɑjɑɾɾe
ବଧାବନ,bɔdʰɑbɔnɔ
କରିଦିଏ,kɔɾidie
ବାଧ୍ୟତାମୂଳକ,bɑdʰjɔtɑmu`lɔkɔ
ସ୍କୁଲ,skʊl
ଜେଲ,d͡ʒel
‘ସୁନାମୁଣ୍ଡା,‘sʊnɑmʊɳɖɑ
ରାଜାଘର,ɾɑd͡ʒɑɡʰɔɾɔ
ପୁରୁଣା,pʊɾʊɳɑ
ଠକି,ʈʰɔki
ସମୂହ,sɔmuhɔ
କଳସଟି,kɔ`lɔsɔʈi
ପ୍ରକଳ୍ପର,pɾɔkɔ`lpɔɾɔ
ନିୟନ୍ତ୍ରକ,nijɔntɾɔkɔ
ପାଣ୍ଠିରୁ,pɑɳʈʰiɾʊ
ସଂଖ୍ୟାର,sɔŋkʰjɑɾɔ
ନେଇଗେଲ,neiɡelɔ
ଦାରୁଣ,dɑɾʊɳɔ
ଯାହାସହ,|yɑhɑsɔhɔ
କ'ଣଖେଳୁଥିଲ।,kɔ'ɳɔkʰe`lʊtʰilɔ।
ପାଖେ,pɑkʰe
ଲାଗୁ,lɑɡʊ
କରଦେଇଛି,kɔɾɔdeit͡ʃʰi
ଦୁଲକର,dʊlkɔɾ
ବଞ୍ଚିପାରିବା,bɔɲt͡ʃipɑɾibɑ
ଛାଡପତ୍ର,t͡ʃʰɑɖɔpɔtɾɔ
ଆୟୁ,ɑjʊ
26,26
ଫାଲତୁ,phɑltʊ
ଆଲିଆଙ୍କୁ,ɑliɑŋkʊ
ସେକେଣ୍ଡ,sekeɳɖ
ଜୀବାଣୁ,d͡ʒibɑɳʊ
ଚମଡ଼ାରେ,t͡ʃɔmɔɽɑɾe
ହାଲୋ,hɑlo
ହେଇପାରିବିନି,heipɑɾibini
ଯାଉଁ,|yɑʊn~
ଉଦଘାଟିତ,ʊdɡʰɑʈitɔ
ଝିଅ,d͡ʒʱiɔ
ବାସନବାଲା,bɑsɔnɔbɑlɑ
2:00,2:00
କପୁର,kɔpʊɾ
ଆରୋପରେ,ɑɾopɔɾe
ଫୁଲମାନେ,phʊlɔmɑne
ବୋମା,bomɑ
ହେଇପାରିବୁ,heipɑɾibʊ
ସହଦେବ,sɔhɔdebɔ
ଲୁଟେରା,lʊʈeɾɑ
କୋଠାଘରେ,koʈʰɑɡʰɔɾe
ଆଦର,ɑdɔɾɔ
ବ୍ୟବଚ୍ଛେଦ,bjɔbɔt͡ʃt͡ʃʰedɔ
କାମରୁ,kɑmɔɾʊ
ସହରୀକରଣ,sɔhɔɾikɔɾɔɳɔ
ଜୋନ୍‌ରେ,d͡ʒon‌ɾe
ଉଡ଼ିବାର,ʊɽibɑɾɔ
ଆଜୀବନ,ɑd͡ʒibɔnɔ
ଗୃହବନ୍ଦୀ,ɡɾʊhɔbɔndi
ଅମୃତ,ɔmɾʊtɔ
କ୍ୟାମେରାରେ,kjɑmeɾɑɾe
ହେଇଯାଉଛି,hei|yɑʊt͡ʃʰi
ଠିକର,ʈʰikɔɾɔ
(ଆଇଆରଟିଏସ)ର,(ɑiɑɾʈies)ɾɔ
ଗାଡ଼ି,ɡɑɽi
ଡାକିନେଇ,ɖɑkinei
ପ୍ରଚାର,pɾɔt͡ʃɑɾɔ
₹120,₹120
ଜଉଟା,d͡ʒɔʊʈɑ
ଚାଷବାସ,t͡ʃɑsɔbɑsɔ
କଂଗ୍ରେସ,kɔŋɾes
ନେଗେଟିଭ,neɡeʈibʰ
Treo,Treo
ଆଶ୍ରୟ,ɑsɾɔjɔ
ରିଙ୍ଗରୋଡ,ɾiŋɡɾoɖ
ଦଣ୍ଡର,dɔɳɖɔɾɔ
ଅତିଥିମାନେ,ɔtitʰimɑne
ନନ୍ଦିବିଳାସକୁ,nɔndibi`lɑsɔkʊ
ରାଶିଠାରୁ,ɾɑsiʈʰɑɾʊ
ହସ୍ପିଟାଲର,hɔspiʈɑlɾɔ
ଜଙ୍ଗଲଠାରୁ,d͡ʒɔŋɡɔlɔʈʰɑɾʊ
ଗାନ୍ଧୀଙ୍କୁ,ɡɑndʰiŋkʊ
ଅଂଚଳରେ,ɔMt͡ʃɔ`lɔɾe
ହେଡଫୋନ୍,heɖphon
ମାନଙ୍କଠାରୁ,mɑnɔŋkɔʈʰɑɾʊ
ପୋଡ଼ୁଚାଷର,poɽʊt͡ʃɑsɔɾɔ
ସତକୁସତ,sɔtɔkʊsɔtɔ
ବଢାଇଛି,bɔɖʱɑit͡ʃʰi
ମୋଟର,meɑʈɔɾɔ
ପରିଲୁ,pɔɾilʊ
ତିକ୍ତତା,tiktɔtɑ
ହୋଇଛନ୍ତିି,hoit͡ʃʰɔntii
ଜିଲ୍ଲାଗୁଡ଼ିକୁ,d͡ʒillɑɡʊɽikʊ
ଅସୁରର,ɔsʊɾɔɾɔ
ପ୍ରବୋଧନା,pɾɔbodʰɔnɑ
ପକାଇବ,pɔkɑibɔ
25-26,25-26
ଖେଡୁ,kʰeɖʊ
ପିଲାର,pilɑɾɔ
ୱେୟାରଲେସ୍,ʋejɑɾles
କରେଣ୍ଟ୍,kɔɾeɳʈ
ଇନିଂସ,iniMs
କରିରଖିଛି,kɔɾiɾɔkʰit͡ʃʰi
ହତ୍ୟାକାଣ୍ଡ,hɔtjɑkɑɳɖɔ
ହସିଥିଲେ,hɔsitʰile
ରହିବ,ɾɔhibɔ
ଭୁବନେଶ୍ୱର,bʰʊbɔnesʋɔɾɔ
ପାଉଥିଲା,pɑʊtʰilɑ
ବୁଝିପାରିଲିନି,bʊd͡ʒʱipɑɾilini
ଆଗ,ɑɡɔ
ପରୀକ୍ଷା,pɔɾikʰjɑ
ଟୂମୋରୋ,ʈumoɾo
ଘେରିଛି,ɡʰeɾit͡ʃʰi
ଯଶପ୍ରାପ୍ତିର,|yɔsɔpɾɑptiɾɔ
ସାମ୍ବାଦିକ,sɑmbɑdikɔ
ନାବାଳିକା,nɑbɑ`likɑ
ଶେଷକୁ,sesɔkʊ
ଦେଇଥିଲା-,deitʰilɑ-
ପ୍ରୋଗ୍ରାମ,pɾoɡɾɑm
ବଡ,bɔɖɔ
ସ୍ମାରକ,smɑɾɔkɔ
ଦଳକ,dɔ`lɔkɔ
ରଜା,ɾɔd͡ʒɑ
ଗାଧୁଅନ୍ତି,ɡɑdʰʊɔnti
ଡାଙ୍ଗମାଳ,ɖɑŋɡɔmɑ`lɔ
ଆଇଏନଏକ୍ସ,ɑieneks
ନିଉ,niʊ
ଚାଲିଯିବ,t͡ʃɑli|yibɔ
କରାଇବେ,kɔɾɑibe
ନୃତ୍ୟ,nɾʊtjɔ
ବ୍ୟାଙ୍କିଂ,bjɑŋkiM
ପ୍ରୋଟୋକଲ୍,pɾoʈokɔl
ଓଃ,oh
ଡାକିଥିଲି,ɖɑkitʰili
ପିଲାଟିଏ,pilɑʈie
ସଦସ୍ୟ,sɔdɔsjɔ
ଚଳିବା,t͡ʃɔ`libɑ
ପିଟିଲା,piʈilɑ
ପାକିସ୍ତାନ,pɑkistɑn
ରୋକନ୍ତୁ,ɾokɔntʊ
ଖୋଲିଦେଲୁ,kʰolidelʊ
ଆରମ୍ଭରୁ,ɑɾɔmbʰɔɾʊ
କୋଉ,koʊ
ଉଦ୍ୟୋଗ-ସମ୍ପର୍କିତ,ʊdjoɡɔ-sɔmpɔɾkitɔ
ଘଟିଥାଇପାରେ,ɡʰɔʈitʰɑipɑɾe
2021ରେ,2021ɾe
ପିଲଜ଼,pilɔzɔ
ମାଁର,mɑn~ɾɔ
ଓଡିଶା,oɖisɑ
ଫୁଟେଜ୍,phʊʈed͡ʒ
ଗୁରୁପୂର୍ଣ୍ଣିମାଭାବେ,ɡʊɾʊpuɾɳɳimɑbʰɑbe
ଚିକେନ,t͡ʃiken
ଢ଼ାଂଚାଗତ,ɽʱɑMt͡ʃɑɡɔtɔ
ମାଛର,mɑt͡ʃʰɔɾɔ
